"Enabled for Checkout","Įjungti"
"Gateway URL","Serviso URL adresas"
"User ID","Vartotojo ID"
"Password","Slaptažodis"
"Title","Pavadinimas"
"Courier shipping price","Kurjerio siuntimo kaina"
"Parcel terminal shipping price","Siuntų terminalo siuntimo kaina"
"Pick up time start","Paėmimo pradžios laikas"
"Pick up time finish","Paėmimo pabaigos laikas"
"Company name","Įmonės pavadinimas"
"Bank account number","Banko sąskaitos numeris"
"Company street address","Įmonės gatvės adresas"
"Company city","Įmonės miestas"
"Company postcode","Įmonės pašto kodas"
"Company country code","Įmonės šalies kodas (LT)"
"Company phone","Įmonės telefono numeris"
"Pick up from store type","Paėmimo iš parduotuvės būdas"
"Maximum Package Weight","Didžiausias leistinas svoris"
"Allowed Methods","Siuntimo būdai"
"Displayed Error Message","Klaidos pranešimo tekstas"
"Ship to Applicable Countries","Siuntimas į tinkamas šalis"
"Ship to Specific Countries","Siuntimas į pasirinktas šalis"
"Sort Order","Eiliškumas"
"Courier","Kurjeris"
"Parcel terminal","Siuntų terminalas"
"Yes","Taip"
"No","Ne"
"All Allowed Countries","Visos galimos šalys"
"Specific Countries","Pasirinktos šalys"
"Omniva manifest","Omniva manifestas"
"New orders","Nauji užsakymai"
"Omniva orders","Omniva užsakymai"
"Order #","Užsakymo #"
"Manifest generation date","Manifesto generavimo data"
"Generate manifest","Generuoti manifestą"
"Print labels","Spausdinti lipdukus"
"Select orders","Pasirinkite užsakymus"
"Select parcel terminal","Pasirinkite siuntų terminalą"
"Please select parcel terminal.","Pasirinkite siuntų terminalą"
"Omniva courier called","Omniva kurjeris iškviestas"
"Failed to call Omniva courier","Omniva kurjerio iškviesti nepavyko"
"Call Omniva","Iškviesti Omniva"
